"","periodo","periodo_fecha","precios"
"537","2022-1","1/01/2022",300002800
"538","2022-1","1/01/2022",263580300
"539","2022-1","1/01/2022",146990000
"540","2022-1","1/01/2022",1.75e+08
"541","2022-1","1/01/2022",711493000
"542","2022-1","1/01/2022",1.5e+08
"543","2022-1","1/01/2022",2.4e+08
"544","2022-1","1/01/2022",391180000
"545","2022-1","1/01/2022",147423375
"546","2022-1","1/01/2022",1446120000
"547","2022-1","1/01/2022",4.21e+08
"548","2022-1","1/01/2022",1220962000
"549","2022-1","1/01/2022",1306297000
"550","2022-1","1/01/2022",271565000
"551","2022-1","1/01/2022",233442000
"552","2022-1","1/01/2022",1.08e+08
"553","2022-1","1/01/2022",335223000
"554","2022-1","1/01/2022",258200250
"555","2022-1","1/01/2022",2085600000
"556","2022-1","1/01/2022",153900000
"557","2022-1","1/01/2022",1152872000
"558","2022-1","1/01/2022",492978583
"559","2022-1","1/01/2022",727650000
"560","2022-1","1/01/2022",366400000
"561","2022-1","1/01/2022",234500000
"562","2022-1","1/01/2022",977600250
"563","2022-1","1/01/2022",385422000
"564","2022-1","1/01/2022",4.2e+07
"565","2022-1","1/01/2022",1.8e+08
"566","2022-1","1/01/2022",1.8e+08
"567","2022-1","1/01/2022",429800000
"568","2022-1","1/01/2022",9.6e+08
"569","2022-1","1/01/2022",5.65e+08
"570","2022-1","1/01/2022",254274000
"571","2022-1","1/01/2022",220370000
"572","2022-1","1/01/2022",3.3e+08
"573","2022-1","1/01/2022",204356000
"574","2022-1","1/01/2022",197634000
"575","2022-1","1/01/2022",81766340
"576","2022-1","1/01/2022",139448000
"577","2022-1","1/01/2022",270417000
"578","2022-1","1/01/2022",6.83e+08
"579","2022-1","1/01/2022",1183481250
"580","2022-1","1/01/2022",641707000
"581","2022-1","1/01/2022",106140000
"582","2022-1","1/01/2022",207390000
"583","2022-1","1/01/2022",207990000
"584","2022-1","1/01/2022",84196593
"585","2022-1","1/01/2022",460652000
"586","2022-1","1/01/2022",342966000
"587","2022-1","1/01/2022",321997298
"588","2022-1","1/01/2022",1.63e+08
"589","2022-1","1/01/2022",323600000
"590","2022-1","1/01/2022",452680000
"591","2022-1","1/01/2022",715430838
"592","2022-1","1/01/2022",237800000
"593","2022-1","1/01/2022",282918200
"594","2022-1","1/01/2022",1429590000
"595","2022-1","1/01/2022",254466800
"596","2022-1","1/01/2022",263997000
"597","2022-1","1/01/2022",1.29e+08
"598","2022-1","1/01/2022",1.8e+08
"599","2022-1","1/01/2022",138500000
"600","2022-1","1/01/2022",926400000
"601","2022-1","1/01/2022",505525000
"602","2022-1","1/01/2022",559057000
"603","2022-1","1/01/2022",327360000
"604","2022-1","1/01/2022",110100000
"605","2022-1","1/01/2022",306800000
"606","2022-1","1/01/2022",1.32e+08
"607","2022-1","1/01/2022",234100000
"608","2022-1","1/01/2022",5.55e+08
"609","2022-1","1/01/2022",1606800000
"610","2022-1","1/01/2022",1081500000
"611","2022-1","1/01/2022",868600000
"612","2022-1","1/01/2022",331047000
"613","2022-1","1/01/2022",322708000
"614","2022-1","1/01/2022",2.6e+08
"615","2022-1","1/01/2022",585135000
"616","2022-1","1/01/2022",3e+08
"617","2022-1","1/01/2022",334546000
"618","2022-1","1/01/2022",3.06e+08
"619","2022-1","1/01/2022",561141000
"620","2022-1","1/01/2022",445478000
"621","2022-1","1/01/2022",339900000
"622","2022-1","1/01/2022",230400000
"623","2022-1","1/01/2022",1390500000
"624","2022-1","1/01/2022",463500000
"625","2022-1","1/01/2022",704520000
"626","2022-1","1/01/2022",210500000
"627","2022-1","1/01/2022",1201589000
"628","2022-1","1/01/2022",224532000
"629","2022-1","1/01/2022",283896000
"630","2022-1","1/01/2022",1.68e+08
"631","2022-1","1/01/2022",182960000
"632","2022-1","1/01/2022",1416392000
"633","2022-1","1/01/2022",1317644000
"634","2022-1","1/01/2022",384673567
"635","2022-1","1/01/2022",266418000
"636","2022-1","1/01/2022",185500000
"637","2022-1","1/01/2022",406549700
"638","2022-1","1/01/2022",3.96e+08
"639","2022-1","1/01/2022",278200000
"640","2022-1","1/01/2022",3.5e+08
"641","2022-1","1/01/2022",263845000
"642","2022-1","1/01/2022",321415000
"643","2022-1","1/01/2022",231200000
"644","2022-1","1/01/2022",1.5e+08
"645","2022-1","1/01/2022",131100000
"646","2022-1","1/01/2022",453499000
"647","2022-1","1/01/2022",8.49e+08
